interval,policy,predicted_workload,allocated_vms,cloudlets,avg_execution_time,avg_response_time,makespan,resource_utilization
0,DYNAMIC_DRL,93.887600,5,23,17.785000,30.015652,53.150000,1.000000
1,DYNAMIC_DRL,100.819700,6,25,17.793200,27.758000,45.650000,1.000000
2,DYNAMIC_DRL,105.681300,7,26,17.752115,26.022500,39.805000,1.000000
3,DYNAMIC_DRL,110.016300,8,28,17.908214,25.728929,41.570000,1.000000
4,DYNAMIC_DRL,113.451700,9,28,17.912500,23.916964,37.930000,1.000000
5,DYNAMIC_DRL,115.941900,10,29,17.813448,22.895517,37.930000,1.000000
6,DYNAMIC_DRL,117.585600,11,29,17.813448,21.845862,36.055000,1.000000
7,DYNAMIC_DRL,116.393600,11,29,17.813448,21.845862,36.055000,1.000000
8,DYNAMIC_DRL,112.302700,11,28,17.910000,21.472321,36.055000,1.000000
9,DYNAMIC_DRL,105.965900,11,26,17.764808,20.422692,36.055000,0.926615
10,DYNAMIC_DRL,97.899500,11,24,17.907917,19.276250,36.055000,0.862319
11,DYNAMIC_DRL,91.650400,11,23,17.785000,18.546739,34.180000,0.865738
12,DYNAMIC_DRL,85.486200,11,21,17.771905,17.871905,20.765000,1.000000
13,DYNAMIC_DRL,80.858100,10,20,17.905000,18.005000,20.765000,1.000000
14,DYNAMIC_DRL,77.194500,9,19,17.759737,18.660789,34.180000,0.872830
15,DYNAMIC_DRL,74.627700,8,19,17.759737,20.558947,37.930000,0.884854
16,DYNAMIC_DRL,72.941600,7,18,17.702500,21.497222,36.055000,1.000000
17,DYNAMIC_DRL,71.861300,7,18,17.702500,21.497222,36.055000,1.000000
18,DYNAMIC_DRL,71.108700,7,18,17.702500,21.497222,36.055000,1.000000
19,DYNAMIC_DRL,71.049600,7,18,17.702500,21.497222,36.055000,1.000000
20,DYNAMIC_DRL,72.505400,7,18,17.702500,21.497222,36.055000,1.000000
21,DYNAMIC_DRL,76.296600,7,19,17.763421,22.164737,36.055000,1.000000
22,DYNAMIC_DRL,80.893400,7,20,17.912000,22.859250,36.055000,1.000000
23,DYNAMIC_DRL,86.380100,8,22,17.737500,22.581818,41.570000,0.933666
24,DYNAMIC_DRL,92.639900,9,23,17.788043,21.441304,37.930000,0.953511
25,DYNAMIC_DRL,97.722700,10,24,17.907917,20.700833,37.930000,0.901661
26,DYNAMIC_DRL,102.583400,11,26,17.764808,20.422692,36.055000,0.926615
27,DYNAMIC_DRL,107.101100,11,27,17.805370,20.932222,36.055000,0.964436
28,DYNAMIC_DRL,111.000000,11,28,17.910000,21.472321,36.055000,1.000000
29,DYNAMIC_DRL,114.053100,11,29,17.813448,21.845862,36.055000,1.000000
30,DYNAMIC_DRL,116.145400,11,29,17.813448,21.845862,36.055000,1.000000
31,DYNAMIC_DRL,116.801700,11,29,17.813448,21.845862,36.055000,1.000000
32,DYNAMIC_DRL,114.324500,11,29,17.813448,21.845862,36.055000,1.000000
33,DYNAMIC_DRL,109.442200,11,27,17.805370,20.932222,36.055000,0.964436
34,DYNAMIC_DRL,102.253400,11,26,17.764808,20.422692,36.055000,0.926615
35,DYNAMIC_DRL,94.959100,11,24,17.907917,19.276250,36.055000,0.862319
36,DYNAMIC_DRL,88.599300,11,22,17.736136,17.836136,20.765000,1.000000
37,DYNAMIC_DRL,83.301000,10,21,17.771905,18.596667,30.430000,0.976011
38,DYNAMIC_DRL,78.962400,9,20,17.908500,19.624250,37.930000,0.834871
39,DYNAMIC_DRL,75.747700,8,19,17.759737,20.558947,37.930000,0.884854
0,STATIC_BASELINE,93.887600,4,23,17.790217,34.883261,62.405000,1.000000
1,STATIC_BASELINE,100.819700,4,25,17.800800,37.024000,62.415000,1.000000
2,STATIC_BASELINE,105.681300,4,26,17.769423,38.229615,68.370000,1.000000
3,STATIC_BASELINE,110.016300,4,28,17.914286,41.182143,83.260000,1.000000
4,STATIC_BASELINE,113.451700,4,28,17.914286,41.182143,83.260000,1.000000
5,STATIC_BASELINE,115.941900,4,29,17.817241,41.860690,83.260000,1.000000
6,STATIC_BASELINE,117.585600,4,29,17.817241,41.860690,83.260000,1.000000
7,STATIC_BASELINE,116.393600,4,29,17.817241,41.860690,83.260000,1.000000
8,STATIC_BASELINE,112.302700,4,28,17.914286,41.182143,83.260000,1.000000
9,STATIC_BASELINE,105.965900,4,26,17.769423,38.229615,68.370000,1.000000
10,STATIC_BASELINE,97.899500,4,24,17.912500,36.030000,62.405000,1.000000
11,STATIC_BASELINE,91.650400,4,23,17.790217,34.883261,62.405000,1.000000
12,STATIC_BASELINE,85.486200,4,21,17.777619,33.054286,62.405000,1.000000
13,STATIC_BASELINE,80.858100,4,20,17.911000,32.424500,62.405000,1.000000
14,STATIC_BASELINE,77.194500,4,19,17.762895,30.846579,56.900000,1.000000
15,STATIC_BASELINE,74.627700,4,19,17.762895,30.846579,56.900000,1.000000
16,STATIC_BASELINE,72.941600,4,18,17.701944,29.399167,51.275000,1.000000
17,STATIC_BASELINE,71.861300,4,18,17.701944,29.399167,51.275000,1.000000
18,STATIC_BASELINE,71.108700,4,18,17.701944,29.399167,51.275000,1.000000
19,STATIC_BASELINE,71.049600,4,18,17.701944,29.399167,51.275000,1.000000
20,STATIC_BASELINE,72.505400,4,18,17.701944,29.399167,51.275000,1.000000
21,STATIC_BASELINE,76.296600,4,19,17.762895,30.846579,56.900000,1.000000
22,STATIC_BASELINE,80.893400,4,20,17.911000,32.424500,62.405000,1.000000
23,STATIC_BASELINE,86.380100,4,22,17.741591,33.882500,62.405000,1.000000
24,STATIC_BASELINE,92.639900,4,23,17.790217,34.883261,62.405000,1.000000
25,STATIC_BASELINE,97.722700,4,24,17.912500,36.030000,62.405000,1.000000
26,STATIC_BASELINE,102.583400,4,26,17.769423,38.229615,68.370000,1.000000
27,STATIC_BASELINE,107.101100,4,27,17.809815,39.623704,75.870000,1.000000
28,STATIC_BASELINE,111.000000,4,28,17.914286,41.182143,83.260000,1.000000
29,STATIC_BASELINE,114.053100,4,29,17.817241,41.860690,83.260000,1.000000
30,STATIC_BASELINE,116.145400,4,29,17.817241,41.860690,83.260000,1.000000
31,STATIC_BASELINE,116.801700,4,29,17.817241,41.860690,83.260000,1.000000
32,STATIC_BASELINE,114.324500,4,29,17.817241,41.860690,83.260000,1.000000
33,STATIC_BASELINE,109.442200,4,27,17.809815,39.623704,75.870000,1.000000
34,STATIC_BASELINE,102.253400,4,26,17.769423,38.229615,68.370000,1.000000
35,STATIC_BASELINE,94.959100,4,24,17.912500,36.030000,62.405000,1.000000
36,STATIC_BASELINE,88.599300,4,22,17.741591,33.882500,62.405000,1.000000
37,STATIC_BASELINE,83.301000,4,21,17.777619,33.054286,62.405000,1.000000
38,STATIC_BASELINE,78.962400,4,20,17.911000,32.424500,62.405000,1.000000
39,STATIC_BASELINE,75.747700,4,19,17.762895,30.846579,56.900000,1.000000
